GP,Compound,deg_rate,deg_rate_25,deg_rate_75,n_stints
70th Anniversary Grand Prix,HARD,0.0269,-0.0178,0.1041,35
70th Anniversary Grand Prix,MEDIUM,0.0309,-0.0225,0.0749,19
Abu Dhabi Grand Prix,HARD,0.0579,0.0375,0.0797,139
Abu Dhabi Grand Prix,MEDIUM,0.0941,0.0384,0.1434,105
Abu Dhabi Grand Prix,SOFT,0.079,0.0293,0.1581,26
Australian Grand Prix,HARD,0.0396,0.0028,0.0787,82
Australian Grand Prix,MEDIUM,0.0587,0.0182,0.0995,42
Australian Grand Prix,SOFT,0.03,0.0095,0.0687,20
Austrian Grand Prix,HARD,0.0756,0.048,0.0896,134
Austrian Grand Prix,MEDIUM,0.0765,0.0374,0.107,120
Austrian Grand Prix,SOFT,0.0224,-0.0067,0.0387,24
Azerbaijan Grand Prix,HARD,0.0166,-0.0051,0.0413,87
Azerbaijan Grand Prix,MEDIUM,0.0504,-0.0034,0.0993,74
Azerbaijan Grand Prix,SOFT,-0.0305,-0.1049,0.122,29
Bahrain Grand Prix,HARD,0.1008,0.0779,0.1285,123
Bahrain Grand Prix,MEDIUM,0.1114,0.0806,0.1646,96
Bahrain Grand Prix,SOFT,0.1137,0.0811,0.1578,130
Belgian Grand Prix,HARD,0.0424,0.0155,0.1154,51
Belgian Grand Prix,MEDIUM,0.1121,0.0362,0.1833,112
Belgian Grand Prix,SOFT,0.071,0.0002,0.1643,62
Brazilian Grand Prix,HARD,0.1263,0.099,0.1423,4
Brazilian Grand Prix,MEDIUM,0.0738,0.0669,0.096,18
Brazilian Grand Prix,SOFT,0.0709,0.0519,0.0823,34
British Grand Prix,HARD,0.0211,-0.0074,0.0465,67
British Grand Prix,MEDIUM,0.0117,-0.0127,0.0404,76
British Grand Prix,SOFT,0.0258,-0.0009,0.0589,45
Canadian Grand Prix,HARD,0.0509,0.0347,0.0609,76
Canadian Grand Prix,MEDIUM,0.0539,0.0231,0.0713,48
Canadian Grand Prix,SOFT,0.106,0.0877,0.1086,4
Chinese Grand Prix,HARD,0.0915,0.068,0.128,41
Chinese Grand Prix,MEDIUM,0.1297,0.0979,0.1612,46
Chinese Grand Prix,SOFT,0.1254,0.0635,0.18,14
Dutch Grand Prix,HARD,0.0625,0.0478,0.0794,46
Dutch Grand Prix,MEDIUM,0.0638,0.0467,0.0823,54
Dutch Grand Prix,SOFT,0.0783,0.0441,0.1032,49
Eifel Grand Prix,HARD,0.0462,0.0411,0.0516,4
Eifel Grand Prix,MEDIUM,0.0584,0.0366,0.0816,20
Eifel Grand Prix,SOFT,0.0124,-0.0529,0.0248,20
Emilia Romagna Grand Prix,HARD,0.0591,0.0336,0.0798,34
Emilia Romagna Grand Prix,MEDIUM,0.0731,0.0143,0.1079,35
Emilia Romagna Grand Prix,SOFT,-0.0433,-0.2033,0.0188,17
French Grand Prix,HARD,0.0373,0.0195,0.068,63
French Grand Prix,MEDIUM,0.0407,0.0037,0.0847,61
Hungarian Grand Prix,HARD,0.0835,0.0612,0.0969,77
Hungarian Grand Prix,MEDIUM,0.0756,0.0547,0.1,76
Hungarian Grand Prix,SOFT,0.1164,0.0611,0.1739,30
Italian Grand Prix,HARD,0.0568,0.0279,0.0753,83
Italian Grand Prix,MEDIUM,0.0515,0.0068,0.0904,114
Italian Grand Prix,SOFT,0.0442,0.0231,0.0742,45
Japanese Grand Prix,HARD,0.1038,0.0686,0.1373,56
Japanese Grand Prix,MEDIUM,0.092,0.059,0.1222,51
Japanese Grand Prix,SOFT,0.1029,0.0605,0.1426,30
Las Vegas Grand Prix,HARD,0.0237,-0.0231,0.0672,64
Las Vegas Grand Prix,MEDIUM,0.1222,-0.0398,0.2411,34
Mexican Grand Prix,HARD,0.0402,0.0304,0.0601,20
Mexican Grand Prix,MEDIUM,0.0391,0.0251,0.0704,21
Mexican Grand Prix,SOFT,0.0469,-0.0094,0.0646,4
Mexico City Grand Prix,HARD,0.0585,0.0423,0.0758,63
Mexico City Grand Prix,MEDIUM,0.0645,0.0435,0.0896,78
Mexico City Grand Prix,SOFT,0.0814,0.0644,0.0928,17
Miami Grand Prix,HARD,0.0226,0.0077,0.0416,58
Miami Grand Prix,MEDIUM,0.0237,0.0064,0.0493,61
Miami Grand Prix,SOFT,-0.0295,-0.1652,0.0132,5
Monaco Grand Prix,HARD,0.0556,0.0337,0.076,36
Monaco Grand Prix,MEDIUM,0.0548,0.0314,0.0815,23
Monaco Grand Prix,SOFT,0.0271,-0.0045,0.0557,28
Portuguese Grand Prix,HARD,0.0384,0.0244,0.0467,25
Portuguese Grand Prix,MEDIUM,0.0254,0.0065,0.0416,38
Portuguese Grand Prix,SOFT,0.041,0.0123,0.0561,20
Qatar Grand Prix,HARD,0.0251,-0.0157,0.0635,53
Qatar Grand Prix,MEDIUM,-0.0071,-0.0327,0.0464,60
Qatar Grand Prix,SOFT,-0.0148,-0.0557,0.0374,6
Russian Grand Prix,HARD,0.0275,-0.0106,0.0673,19
Russian Grand Prix,MEDIUM,-0.0314,-0.039,0.0266,29
Russian Grand Prix,SOFT,-0.036,-0.0668,0.0094,22
Sakhir Grand Prix,HARD,0.0689,0.0618,0.0757,13
Sakhir Grand Prix,MEDIUM,0.0694,0.057,0.0811,19
Sakhir Grand Prix,SOFT,0.0508,0.0371,0.0743,14
Saudi Arabian Grand Prix,HARD,-0.0141,-0.0451,0.0087,64
Saudi Arabian Grand Prix,MEDIUM,0.0191,-0.0248,0.0633,77
Saudi Arabian Grand Prix,SOFT,0.0463,-0.0058,0.1378,9
Singapore Grand Prix,HARD,0.0585,0.0384,0.0854,52
Singapore Grand Prix,MEDIUM,0.0523,0.0268,0.0802,49
Singapore Grand Prix,SOFT,0.0329,-0.0157,0.0594,20
Spanish Grand Prix,HARD,0.0784,0.0631,0.1053,39
Spanish Grand Prix,MEDIUM,0.0735,0.0489,0.1026,100
Spanish Grand Prix,SOFT,0.0823,0.0531,0.1304,130
Styrian Grand Prix,HARD,0.0609,0.0505,0.0723,21
Styrian Grand Prix,MEDIUM,0.0595,0.0456,0.0642,27
Styrian Grand Prix,SOFT,0.0438,0.0346,0.0581,23
São Paulo Grand Prix,HARD,0.0722,0.0576,0.0979,27
São Paulo Grand Prix,MEDIUM,0.0784,0.0577,0.1112,61
São Paulo Grand Prix,SOFT,0.0744,0.0555,0.0935,64
Tuscan Grand Prix,HARD,0.0457,0.034,0.068,6
Tuscan Grand Prix,MEDIUM,0.0119,-0.0017,0.0744,8
Tuscan Grand Prix,SOFT,0.0371,-0.0352,0.07,19
United States Grand Prix,HARD,0.0699,0.034,0.0956,110
United States Grand Prix,MEDIUM,0.0786,0.0308,0.1154,114
United States Grand Prix,SOFT,0.101,0.0902,0.1423,13
